crop,area_ha,rainfall,rainfall_7d,rainfall_30d,temp_mean,temp_max,temp_min,humidity,wind_speed,soil_ph,nitrogen,phosphorus,potassium,organic_carbon,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,ndwi_mean,ndwi_min,ndwi_max,ndmi_mean,ndmi_min,ndmi_max,growth_stage,sowing_delay_days,heat_stress_days,excessive_rainfall_index,disease_probability,historical_loss,yield_prediction,risk_score
soybean,0.607,724.7,75.51,788.64,24.18,32.83,16.96,83.91,14.58,6.85,395.46,28.79,198.9,0.549,0.7913,0.5494,0.9256,0.1061,0.1417,0.0373,0.2838,0.3746,0.1958,0.4847,3,2.11,0.0,0.0,0.2087,0.1371,3.815,15.5110351771166
soybean,1.242,569.15,20.53,518.26,29.11,35.72,22.85,68.4,16.55,6.29,368.41,24.09,171.07,0.956,0.6975,0.4633,0.8604,0.0386,-0.0695,-0.1264,0.1188,0.1713,0.0071,0.3352,1,-0.08,0.72,0.0,0.1345,0.2678,3.408,18.241157311048966
cotton,1.031,499.93,24.4,465.75,28.27,37.45,18.09,42.97,19.31,6.42,130.03,34.39,54.69,0.255,0.5484,0.3805,0.699,0.0929,-0.2462,-0.3408,-0.1848,0.1957,0.0316,0.2622,5,10.12,2.45,0.0,0.0754,0.0799,2.475,12.9399375908762
maize,3.625,659.56,32.41,637.28,26.44,31.37,18.49,66.4,20.67,6.44,115.07,23.69,134.69,0.853,0.7011,0.5833,0.8051,0.1492,-0.0998,-0.1755,0.0272,0.3413,0.2393,0.5095,1,3.8,0.0,0.0,0.1234,0.0469,6.233,8.602867178067175
cotton,8.258,808.24,35.45,649.16,23.65,28.67,17.43,92.02,10.65,6.21,290.76,7.1,185.55,1.048,0.5601,0.3814,0.6787,0.1059,0.0186,-0.1573,0.1131,0.0973,0.0336,0.1881,5,1.96,0.0,0.0,0.3854,0.2563,2.666,28.053931012182904
maize,6.004,246.89,21.61,276.8,24.03,34.4,19.64,27.5,24.47,6.62,207.09,27.27,194.65,0.273,0.7196,0.584,0.9163,0.0697,-0.142,-0.221,-0.0026,0.2342,0.1613,0.349,1,-6.1,0.0,0.0,0.0341,0.0679,6.363,4.4423568350611715
cotton,2.469,662.16,29.67,809.07,27.53,34.89,21.14,71.49,11.06,7.66,309.94,33.65,237.48,0.38,0.95,0.763,1.0,0.1421,-0.1009,-0.1727,0.0842,0.2836,0.1744,0.4141,1,5.25,0.0,0.0,0.0671,0.2484,2.789,15.86095796758461
soybean,7.611,691.2,63.07,819.32,31.42,39.43,27.24,53.38,19.85,7.03,279.41,31.2,187.96,0.51,0.7992,0.5778,0.9836,0.0964,-0.1084,-0.2339,0.056,0.2405,0.1182,0.3177,3,9.26,4.43,0.0,0.1364,0.2888,3.273,26.45887965513336
maize,3.577,199.19,10.68,247.66,25.85,32.41,17.13,54.09,7.22,5.84,141.3,33.01,190.74,0.861,0.5804,0.4514,0.7447,0.082,-0.0576,-0.1677,0.1404,0.2952,0.2142,0.4002,3,-1.35,0.0,0.0,0.139,0.2482,6.218,16.828185878098694
wheat,9.062,475.5,69.28,567.25,26.93,32.11,21.78,98.0,16.84,6.13,273.26,9.69,213.12,0.905,0.714,0.4726,0.7949,0.0899,0.0524,-0.1335,0.2464,0.1877,0.0136,0.3574,1,1.85,0.0,0.0,0.4755,0.2859,5.408,33.0404131572588
wheat,8.683,615.01,33.33,638.89,36.63,44.63,31.02,82.43,8.22,6.61,304.57,27.72,208.45,0.676,0.6461,0.4598,0.8261,0.097,-0.3604,-0.4569,-0.2354,0.0324,-0.0451,0.1426,1,13.99,9.63,0.0,0.2582,0.3551,3.588,41.415334264092856
rice,5.434,404.45,53.84,446.1,30.27,38.94,23.68,75.47,17.07,7.05,314.87,13.45,235.8,0.78,0.7047,0.5313,0.7941,0.0779,-0.2009,-0.3456,-0.0098,0.1752,-0.0044,0.3526,1,-4.85,3.94,0.0,0.2635,0.3734,4.718,31.491467424541614
cotton,5.638,472.7,42.36,515.47,17.32,25.02,13.34,58.42,15.43,6.4,332.48,19.46,197.38,0.899,0.8064,0.5992,0.9913,0.0957,0.1731,0.0479,0.2257,0.4937,0.3248,0.5461,5,0.36,0.0,0.0,0.0361,0.1818,2.346,9.761702903413841
rice,1.759,379.42,38.74,340.75,34.54,41.23,26.91,98.0,16.81,7.48,192.05,16.38,132.8,0.719,0.5995,0.3819,0.7479,0.0645,-0.3164,-0.3813,-0.184,0.1139,0.0307,0.175,3,11.33,6.23,0.0,0.4592,0.4922,3.474,51.41269350375143
maize,4.494,736.23,17.52,873.82,23.13,27.42,19.59,67.24,17.85,6.3,314.14,15.9,201.97,0.751,0.716,0.4297,0.8364,0.0831,0.0973,-0.0278,0.1953,0.3403,0.2468,0.4875,4,-0.01,0.0,0.0,0.1263,0.0885,6.116,9.15346830918398
rice,4.723,572.07,21.21,476.24,30.44,38.76,25.56,64.39,18.35,6.68,247.55,18.13,168.21,0.511,0.7489,0.5308,0.8725,0.1002,-0.2131,-0.2983,-0.1026,0.1862,0.0172,0.329,3,6.96,3.76,0.0,0.1494,0.2288,4.739,22.769056812160027
cotton,6.751,360.79,6.63,434.62,29.86,34.46,22.62,59.72,8.53,5.62,267.56,23.05,187.06,0.687,0.4789,0.3609,0.638,0.0572,-0.316,-0.382,-0.1225,0.1607,0.0791,0.2451,3,10.18,0.0,0.0,0.1854,0.1754,2.012,19.309781551745754
wheat,6.002,697.27,18.86,512.19,25.28,34.05,18.9,68.08,11.82,7.16,197.62,16.12,151.15,1.203,0.6329,0.3662,0.7132,0.0912,-0.0711,-0.2216,0.0173,0.269,0.1552,0.4144,5,-0.86,0.0,0.0,0.2052,0.1563,5.571,15.432153896643511
maize,6.443,774.3,31.63,754.64,26.44,32.42,16.41,95.26,3.99,7.69,308.84,5.0,195.48,0.511,0.7167,0.5263,0.8965,0.1282,-0.0943,-0.2154,0.0097,0.358,0.2201,0.4765,2,2.32,0.0,0.0,0.1579,0.1799,6.788,15.419806724152574
rice,4.904,417.61,27.65,435.41,23.02,28.34,17.76,54.42,16.99,7.26,283.27,31.57,145.64,0.78,0.6269,0.4808,0.7221,0.1302,-0.0453,-0.0994,0.0502,0.2782,0.1334,0.359,3,-1.73,0.0,0.0,0.0558,0.0,5.691,2.2927917351490956
chickpea,5.027,766.2,15.46,881.28,29.99,35.96,19.41,47.75,17.86,7.17,187.39,22.88,109.46,0.467,0.5984,0.3793,0.6919,0.1222,-0.2612,-0.4198,-0.0653,0.09,-0.0866,0.1993,1,9.18,0.96,0.0,0.0784,0.0963,2.555,11.9535712236511
soybean,8.763,402.28,21.04,457.5,27.79,37.57,22.09,79.66,11.08,7.46,199.69,17.98,88.09,0.823,0.5185,0.4182,0.6888,0.1381,-0.2063,-0.364,-0.0503,0.238,0.1364,0.3499,2,2.27,2.57,0.0,0.1276,0.2537,3.315,20.03142098843288
soybean,4.589,751.78,28.93,572.51,15.0,20.49,9.03,47.18,18.93,6.74,232.02,22.99,109.73,0.495,0.7435,0.5817,0.8608,0.0552,0.2503,0.0565,0.4225,0.3643,0.2654,0.4847,2,4.21,0.0,0.0,0.0208,0.1139,3.589,7.5424684141701075
soybean,5.69,1214.42,46.79,1456.41,27.25,34.67,19.45,77.29,14.57,7.12,152.35,29.86,178.79,0.642,0.7388,0.5661,0.9157,0.0749,-0.0926,-0.1734,0.0078,0.1934,0.1143,0.3342,3,6.54,0.0,0.0,0.1871,0.0631,3.202,12.978259275298143
rice,3.41,461.69,59.64,535.49,24.69,35.32,14.95,68.46,15.83,6.17,268.3,22.21,125.44,0.806,0.8528,0.6863,0.9903,0.0858,-0.0727,-0.1854,0.1021,0.3468,0.1939,0.4324,3,-2.87,0.32,0.0,0.0736,0.1528,5.885,10.188018061062758
soybean,8.434,748.09,28.17,914.34,32.24,36.26,21.21,82.1,15.44,6.52,292.01,15.39,171.15,0.716,0.6897,0.4346,0.8565,0.1191,-0.1777,-0.2929,-0.073,0.1141,0.0167,0.2425,5,5.11,1.26,0.0,0.4796,0.317,3.616,37.09016764313095
maize,1.028,578.41,36.25,472.7,34.61,38.55,28.01,43.97,23.0,7.35,271.31,20.19,97.72,0.603,0.5219,0.3546,0.7004,0.0705,-0.3568,-0.4651,-0.1695,0.0718,-0.0314,0.2208,3,-0.42,3.55,0.0,0.2629,0.4009,5.306,32.308524708465185
cotton,9.981,639.03,60.8,759.83,30.34,37.08,22.89,75.01,16.29,6.0,265.24,12.49,232.79,0.614,0.6536,0.4804,0.7827,0.1268,-0.2709,-0.3793,-0.0758,0.2092,0.1382,0.2816,5,15.66,2.08,0.0,0.5242,0.1359,2.563,35.60651279905087
rice,9.796,617.87,18.3,405.33,28.08,38.55,21.83,52.27,7.29,5.54,295.11,30.7,230.61,0.561,0.6573,0.5496,0.8483,0.0525,-0.2907,-0.4515,-0.1881,0.1763,0.0103,0.3428,2,-4.63,3.55,0.0,0.1663,0.2757,5.74,22.73163902959682
maize,3.79,877.14,44.45,1084.14,25.66,31.71,19.27,61.16,18.93,7.66,167.09,43.26,299.92,0.902,0.7351,0.4442,0.8537,0.0815,0.0144,-0.1824,0.2136,0.2517,0.1403,0.423,4,4.81,0.0,0.0,0.044,0.0,6.117,3.62029483908627
chickpea,4.387,499.96,29.15,420.69,33.26,38.12,26.7,62.64,1.0,6.14,244.55,30.66,124.2,0.425,0.6225,0.4264,0.7675,0.048,-0.4452,-0.5108,-0.2874,0.0904,0.0302,0.1658,4,6.29,3.12,0.0,0.2611,0.1757,2.636,24.087978207706076
cotton,7.867,160.65,31.56,159.31,24.99,31.52,19.24,58.22,20.77,6.79,194.05,31.59,120.28,0.749,0.7932,0.5108,0.9066,0.1345,-0.0877,-0.1553,-0.0297,0.2989,0.2215,0.3912,5,6.67,0.0,0.0,0.1027,0.2324,2.146,17.142152275302195
rice,1.535,1137.19,86.6,927.82,25.54,32.57,18.71,63.58,19.69,6.62,223.32,16.64,76.91,0.991,0.7748,0.5838,0.9487,0.0968,0.0959,-0.0203,0.2178,0.427,0.3328,0.5705,3,6.83,0.0,0.0,0.1504,0.2338,5.609,19.225111049106854
maize,7.488,150.0,17.67,168.8,25.26,34.5,20.27,68.44,16.96,5.4,378.08,8.78,234.53,0.57,0.6823,0.4343,0.851,0.0849,-0.0695,-0.2506,0.0908,0.1212,-0.0442,0.279,3,6.53,0.0,0.0,0.1785,0.166,5.6,17.229960501501747
wheat,9.758,494.63,23.32,445.52,36.58,44.56,31.04,65.61,6.38,6.62,201.35,21.2,128.93,0.711,0.6034,0.3144,0.7864,0.0876,-0.4348,-0.4952,-0.3382,0.2746,0.1652,0.3643,4,7.55,9.56,0.0,0.2536,0.2292,3.421,33.090800045114435
cotton,4.648,664.33,6.61,657.49,25.35,28.87,21.0,76.53,13.96,7.04,251.52,29.46,178.32,0.924,0.6803,0.444,0.8086,0.0712,-0.0575,-0.1675,0.0804,0.3638,0.2584,0.538,1,9.47,0.0,0.0,0.1128,0.0007,2.694,8.234442407009753
chickpea,5.623,822.3,63.02,646.4,27.4,37.04,18.14,46.57,5.55,7.56,187.75,25.54,294.93,0.764,0.6044,0.4628,0.7471,0.1123,-0.1601,-0.3112,-0.0947,0.2869,0.1803,0.4631,2,6.59,2.04,0.0,0.0769,0.2193,3.099,17.505158777484727
wheat,2.979,376.27,7.95,450.14,28.83,33.23,25.88,59.84,6.75,7.53,233.56,7.04,193.45,0.562,0.7161,0.4183,0.8161,0.114,-0.1757,-0.2697,-0.1059,0.056,-0.0784,0.2333,5,6.5,0.0,0.0,0.1513,0.0,4.787,8.665968321350787
cotton,3.505,286.3,13.7,193.19,19.68,28.39,12.07,55.17,10.04,7.47,321.44,28.93,88.86,1.211,0.7469,0.5176,0.9463,0.132,0.0587,-0.1292,0.1776,0.3081,0.1871,0.4046,3,4.81,0.0,0.0,0.0638,0.2892,2.341,17.386986434373817
rice,8.837,723.76,53.08,534.41,28.9,37.35,21.74,68.35,8.76,6.39,241.59,8.0,184.06,1.077,0.7303,0.4949,0.8188,0.1615,-0.094,-0.2931,0.0455,0.3271,0.1871,0.4652,5,8.77,2.35,0.0,0.1908,0.1964,5.678,22.290970350925992
rice,0.846,611.77,19.87,584.03,24.67,29.09,21.18,57.04,15.24,6.61,256.82,31.24,209.13,0.548,0.6358,0.429,0.7466,0.0953,0.0258,-0.1138,0.1145,0.1391,0.0387,0.2559,4,5.72,0.0,0.0,0.0488,0.075,5.987,7.519614614344874
wheat,6.742,715.94,62.72,693.79,28.57,34.05,20.71,73.82,15.97,6.51,223.96,18.82,212.2,1.016,0.7424,0.4662,0.9333,0.1289,-0.0376,-0.1611,0.0966,0.3821,0.227,0.4391,5,2.77,0.0,0.0,0.2702,0.2455,4.948,23.14189870750587
wheat,1.273,248.01,85.85,233.17,26.43,33.85,20.45,71.99,9.32,7.16,208.8,16.97,210.84,1.166,0.7134,0.4161,0.8047,0.108,0.0583,-0.1169,0.2208,0.3635,0.2378,0.4857,4,5.31,0.0,0.0,0.1647,0.0383,5.556,10.483624693391333
soybean,2.533,803.19,49.05,708.48,34.94,43.65,28.63,59.75,6.66,5.89,220.52,19.15,89.12,0.829,0.5238,0.3031,0.6365,0.0954,-0.332,-0.5093,-0.2782,0.195,0.0443,0.3324,4,17.37,8.65,0.0,0.2155,0.1943,2.087,32.752213887720984
maize,9.939,901.82,24.66,618.76,29.04,37.22,22.03,53.87,13.52,6.97,241.32,31.21,213.0,0.863,0.6767,0.5576,0.8325,0.0772,-0.2829,-0.4533,-0.2076,0.185,0.0867,0.2772,2,3.69,2.22,0.0,0.0852,0.2193,5.779,16.933510996899333
chickpea,3.688,839.31,13.28,773.54,23.77,33.99,18.11,62.26,19.85,6.71,384.92,24.98,144.59,0.447,0.7082,0.5604,0.8572,0.086,0.0142,-0.1294,0.127,0.2494,0.1435,0.329,3,0.21,0.0,0.0,0.049,0.156,2.781,9.079669617487804
maize,3.798,311.78,2.18,264.12,30.87,36.71,24.05,66.64,15.94,6.23,272.4,16.26,95.33,0.967,0.5876,0.3758,0.7567,0.1386,-0.4818,-0.5997,-0.4088,0.1772,0.0266,0.2673,1,4.81,1.71,0.0,0.0877,0.2718,4.93,19.299687355914845
cotton,5.169,471.15,39.61,441.69,35.9,40.81,29.69,44.54,5.88,6.75,348.79,28.23,105.36,0.914,0.7094,0.4364,0.8028,0.1063,-0.4793,-0.5721,-0.3947,0.1933,0.0391,0.2709,1,7.77,5.81,0.0,0.0744,0.2282,1.938,22.015673495651374
chickpea,1.435,420.58,52.06,467.31,29.11,36.8,24.55,64.45,27.18,6.73,241.56,29.46,180.09,0.72,0.7387,0.4698,0.86,0.0285,-0.1144,-0.1768,-0.0204,0.3179,0.172,0.4296,4,0.54,1.8,0.0,0.0825,0.146,3.284,11.932612171666628
maize,6.123,494.82,2.93,532.32,36.51,43.26,28.43,71.22,1.0,8.16,339.72,28.17,247.84,0.736,0.5999,0.4244,0.797,0.1001,-0.3919,-0.548,-0.3257,0.1321,0.0196,0.2251,4,8.15,8.26,0.0,0.1323,0.1897,4.158,25.263537855408735
cotton,9.633,502.48,39.32,496.65,31.24,39.57,24.94,60.75,17.61,6.9,304.83,14.59,218.72,0.536,0.7034,0.4426,0.8981,0.06,-0.2471,-0.4177,-0.1253,0.3381,0.2396,0.4945,2,1.36,4.57,0.0,0.077,0.3234,2.393,22.73124317037086
wheat,9.921,455.32,20.75,395.38,22.27,30.79,17.71,76.36,11.07,5.94,286.03,15.4,190.64,0.532,0.8374,0.6904,0.9665,0.0508,0.0005,-0.1276,0.1714,0.2213,0.0475,0.3591,2,12.5,0.0,0.0,0.051,0.1373,5.059,12.955031124657085
maize,3.181,871.89,15.98,687.08,27.7,33.19,18.94,81.53,18.2,5.95,275.71,18.88,182.82,0.684,0.7803,0.5627,0.9786,0.0942,-0.1235,-0.174,-0.045,0.3299,0.2463,0.4248,2,4.79,0.0,0.0,0.1893,0.2049,6.428,18.76042361414705
cotton,3.179,1027.37,10.1,1147.55,24.04,31.95,16.22,75.46,1.0,7.45,269.09,33.97,146.13,0.327,0.7924,0.554,0.8833,0.0792,-0.006,-0.1916,0.1026,0.2155,0.0553,0.3131,3,-6.2,0.0,0.0,0.0805,0.0297,2.508,4.637949173517013
chickpea,6.816,563.81,49.98,524.16,33.44,38.58,23.18,95.51,19.64,7.0,281.82,29.89,158.85,0.536,0.6191,0.5051,0.8078,0.109,-0.1974,-0.3925,-0.0518,0.2204,0.1599,0.3378,3,1.86,3.58,0.0,0.5094,0.3083,2.77,39.02039823061748
wheat,9.941,1035.82,54.92,919.7,23.75,30.69,13.1,69.45,15.46,6.99,280.67,18.61,222.89,0.826,0.8481,0.6135,1.0,0.098,-0.0452,-0.1288,0.01,0.2936,0.164,0.4431,3,3.08,0.0,0.0,0.1252,0.0664,5.263,9.278934624128658
maize,1.033,985.09,44.48,851.36,29.96,35.91,21.64,73.85,10.12,5.91,404.67,29.9,234.73,1.242,0.8207,0.6472,1.0,0.0857,-0.177,-0.2464,-0.1,0.2253,0.1291,0.3822,3,5.11,0.91,0.0,0.0754,0.0888,6.439,9.910847392427597
wheat,4.355,885.89,13.82,664.18,26.79,31.04,20.99,72.42,12.69,6.38,205.53,8.87,128.59,0.982,0.8288,0.6148,0.9736,0.0459,-0.1751,-0.3522,-0.0295,0.2705,0.1132,0.3865,5,3.19,0.0,0.0,0.1438,0.2799,5.4,19.647201395351836
chickpea,4.113,810.14,4.98,997.63,31.16,39.42,23.71,68.99,16.88,6.95,259.46,34.36,84.93,0.78,0.7027,0.5506,0.8241,0.1166,-0.2985,-0.4835,-0.1416,0.0953,0.0072,0.2332,3,2.15,4.42,0.0,0.1605,0.1992,2.513,20.747022201654747
chickpea,9.893,858.89,80.66,931.93,24.93,32.22,18.76,70.23,11.56,6.39,228.64,25.61,106.22,0.788,0.7367,0.461,0.8423,0.0905,0.1236,-0.0695,0.2783,0.3634,0.3077,0.4836,4,9.89,0.0,0.0,0.1021,0.2279,3.084,18.129208897677923
rice,7.976,779.74,37.83,514.08,28.38,40.4,21.61,61.17,24.3,7.08,185.67,9.25,193.37,0.757,0.6536,0.3935,0.7808,0.0946,-0.2384,-0.402,-0.0813,0.1362,0.0476,0.3085,5,1.22,5.4,0.0,0.1672,0.2316,5.343,23.103086555530854
wheat,8.348,679.23,13.45,692.98,15.0,24.01,6.28,55.72,4.59,6.9,292.26,36.78,247.56,0.393,0.8551,0.7429,1.0,0.1002,0.2068,0.0984,0.347,0.4009,0.3197,0.5045,1,6.57,0.0,0.0,0.0185,0.2042,4.689,12.381677367562146
wheat,4.57,838.62,70.24,633.34,29.36,34.49,23.51,60.77,11.49,7.0,213.27,24.32,105.43,1.016,0.7968,0.6607,0.9029,0.0967,-0.0755,-0.2194,0.0782,0.3104,0.2514,0.474,5,-1.74,0.0,0.0,0.1819,0.1717,5.188,15.164527670874337
wheat,8.486,1026.53,116.41,1146.08,33.4,36.21,23.42,73.24,15.99,6.62,174.47,23.06,88.18,0.925,0.6202,0.4627,0.7548,0.0888,-0.2228,-0.2792,-0.0737,0.3338,0.2079,0.39,1,1.51,1.21,2.641,0.228,0.1797,4.238,22.130464551251936
rice,5.147,517.52,27.59,450.93,27.89,35.28,20.18,67.16,16.14,7.01,231.38,22.49,203.98,0.838,0.6753,0.5485,0.7572,0.1306,-0.2025,-0.3682,-0.0108,0.245,0.1362,0.3478,1,3.03,0.28,0.0,0.2071,0.2085,6.08,19.269908159286416
maize,8.4,733.48,87.8,548.74,31.77,38.08,25.99,78.07,24.24,6.19,279.37,27.81,291.09,0.813,0.7802,0.566,0.8768,0.1099,-0.0966,-0.1658,0.0225,0.2697,0.2181,0.3465,4,4.95,3.08,0.0,0.1863,0.0711,6.156,15.784607919804545
chickpea,5.586,462.9,24.81,435.1,21.33,28.79,15.27,50.0,12.31,7.2,259.12,24.0,221.77,0.808,0.7916,0.6786,0.8829,0.1376,0.0278,-0.1135,0.161,0.349,0.278,0.5228,2,-1.7,0.0,0.0,0.049,0.0102,3.422,2.4702362152169846
rice,9.634,809.31,49.86,599.09,30.24,36.56,22.94,46.4,15.71,7.07,349.29,22.3,138.78,1.025,0.7252,0.5205,0.8995,0.0697,-0.2781,-0.3474,-0.195,0.2715,0.1719,0.3548,5,1.79,1.56,0.0,0.073,0.0888,6.464,9.211290719763317
soybean,9.312,915.28,28.2,1006.57,34.74,40.72,29.29,41.59,12.13,6.68,248.32,23.46,202.78,0.607,0.6918,0.4444,0.7827,0.1222,-0.3449,-0.5316,-0.1966,0.1355,0.0251,0.2702,3,5.58,5.72,0.0,0.1657,0.2524,2.856,25.935877064368203
wheat,8.577,306.01,36.26,381.45,30.02,35.97,21.5,75.55,13.29,6.09,316.54,36.67,110.33,1.072,0.6222,0.3233,0.7354,0.0878,-0.1278,-0.2492,-0.0572,0.1352,-0.0285,0.2286,3,3.55,0.97,0.0,0.3089,0.1716,4.716,22.686013456749215
chickpea,6.315,988.12,36.43,774.43,29.09,38.42,21.63,76.24,1.0,5.63,239.89,12.61,156.95,0.752,0.7195,0.551,0.8681,0.067,-0.1507,-0.2881,0.0217,0.2797,0.2212,0.4405,1,-1.43,3.42,0.0,0.2353,0.1357,2.848,19.1662830893439
soybean,0.819,789.58,24.46,759.83,21.62,28.32,15.58,60.49,7.93,7.26,196.26,14.86,198.79,1.033,0.7289,0.6024,0.9185,0.0677,0.0599,-0.0148,0.1707,0.3087,0.2102,0.4504,2,3.58,0.0,0.0,0.1363,0.236,3.86,17.51971988157032
soybean,8.37,557.08,67.89,582.35,33.09,40.09,27.21,79.59,15.1,5.91,319.46,18.48,154.58,0.67,0.6069,0.3749,0.776,0.1331,-0.193,-0.2706,-0.1186,0.2754,0.216,0.3556,1,3.61,5.09,0.0,0.5731,0.3543,2.853,45.867495258157525
maize,9.536,740.71,44.76,861.82,32.89,39.93,24.56,73.03,15.52,5.67,190.18,31.56,186.2,0.989,0.7138,0.5992,0.8679,0.1238,-0.2667,-0.38,-0.2147,0.1651,0.0778,0.2877,1,4.39,4.93,0.0,0.2437,0.1999,5.515,25.55102676110271
soybean,6.343,699.47,30.91,554.69,28.82,38.0,21.12,88.43,9.61,7.33,157.37,14.09,169.14,1.304,0.7671,0.5642,0.9456,0.0714,-0.333,-0.391,-0.2017,0.1878,0.0676,0.3037,3,-2.99,3.0,0.0,0.188,0.2404,3.757,21.492211284118902
rice,4.379,762.05,90.77,818.31,18.82,24.65,12.58,70.19,19.62,6.57,261.19,36.18,147.2,0.232,0.8363,0.6761,0.947,0.0561,0.2106,0.0924,0.3866,0.4041,0.335,0.5181,1,7.98,0.0,0.077,0.2645,0.1488,6.199,20.625175334040303
rice,9.632,826.6,33.98,619.05,33.05,39.57,22.9,55.67,11.08,6.95,329.83,29.25,127.8,0.542,0.5837,0.4197,0.7391,0.0708,-0.3028,-0.4441,-0.1433,0.2909,0.1321,0.3545,1,-3.47,4.57,0.0,0.4476,0.3674,5.259,39.41729963582994
soybean,2.177,521.92,19.89,589.7,26.37,32.79,20.6,44.93,12.6,5.8,150.12,24.42,142.33,0.698,0.6752,0.4553,0.8536,0.0872,-0.1491,-0.3095,-0.0389,0.2935,0.2328,0.3985,1,10.05,0.0,0.0,0.0838,0.1428,3.515,13.625972635533557
maize,7.284,835.95,58.35,782.63,37.08,43.3,28.11,68.6,20.37,7.3,414.74,26.22,274.83,0.262,0.7578,0.4781,0.888,0.0404,-0.4195,-0.5891,-0.3008,0.2175,0.0745,0.3898,2,5.32,8.3,0.0,0.3129,0.3003,4.828,36.61169643281701
wheat,1.682,702.64,68.48,560.1,32.25,38.35,24.7,73.49,19.56,6.85,238.26,20.18,236.91,0.828,0.6565,0.4536,0.7865,0.1032,-0.2283,-0.3934,-0.1173,0.2648,0.1721,0.3322,3,8.41,3.35,0.0,0.33,0.2543,4.425,31.468289977287856
rice,5.323,304.26,18.68,203.19,31.6,40.29,26.27,52.07,12.05,6.54,187.52,25.98,155.63,0.328,0.6605,0.3934,0.7553,0.0911,-0.4012,-0.5986,-0.3313,0.2259,0.1368,0.3025,5,14.59,5.29,0.0,0.1601,0.2951,3.6,30.583162958455322
chickpea,5.154,346.87,6.34,241.37,26.02,31.56,14.01,66.73,7.36,6.84,228.9,19.08,228.39,0.889,0.7196,0.4252,0.8987,0.1004,-0.1858,-0.3851,-0.0328,0.1744,0.0214,0.3035,3,13.14,0.0,0.0,0.1069,0.1184,2.696,14.646555896755492
chickpea,5.121,895.03,59.62,852.3,32.81,36.82,23.88,66.11,9.67,6.2,320.57,29.21,184.9,0.57,0.5077,0.3799,0.6734,0.0494,-0.2252,-0.3009,-0.0338,0.2046,0.092,0.2712,5,-3.97,1.82,0.0,0.3022,0.1872,2.539,22.62182650815644
chickpea,2.924,1157.25,3.1,1411.48,26.11,33.25,16.57,57.7,21.77,6.54,296.34,29.82,146.89,0.962,0.7712,0.6085,0.9134,0.0751,-0.1266,-0.2461,0.0396,0.291,0.1924,0.3769,2,4.52,0.0,0.0,0.0513,0.1004,2.729,8.307843587565705
rice,6.708,241.46,14.23,194.18,23.39,29.13,14.45,79.41,20.3,5.72,93.58,18.83,167.97,0.51,0.5802,0.3866,0.7086,0.1121,-0.0564,-0.2031,0.0076,0.3068,0.2137,0.452,5,6.2,0.0,0.0,0.1827,0.2438,5.127,20.762817880873083
cotton,8.408,630.09,36.33,593.36,23.64,31.36,15.05,75.88,4.89,7.43,292.43,14.62,99.46,1.157,0.6796,0.5247,0.8419,0.0445,-0.0083,-0.0963,0.1696,0.3779,0.2804,0.5251,3,4.61,0.0,0.0,0.2026,0.2026,2.524,19.136075419624905
wheat,1.268,1031.79,35.58,1119.21,33.86,39.81,27.89,65.34,18.35,6.67,132.46,24.41,211.96,0.998,0.6137,0.4173,0.8049,0.0745,-0.235,-0.3595,-0.1179,0.2597,0.1161,0.4054,3,8.61,4.81,0.0,0.1496,0.1431,3.632,20.610518551795174
maize,1.264,530.59,40.17,659.75,31.69,36.88,23.79,83.33,12.17,6.45,182.92,11.91,188.2,0.713,0.6187,0.4504,0.7307,0.1224,-0.1121,-0.3059,0.0059,0.3315,0.257,0.4476,3,9.72,1.88,0.0,0.3029,0.2276,5.496,28.182480883061
cotton,7.216,774.77,37.2,646.9,26.7,32.77,15.72,74.36,15.61,6.32,216.42,33.0,145.86,0.844,0.7156,0.563,0.8186,0.1243,-0.1022,-0.2719,-0.0411,0.215,0.0681,0.2886,5,10.23,0.0,0.0,0.1613,0.2248,2.281,20.550965887041098
cotton,7.766,150.0,56.36,129.48,25.94,36.0,19.82,98.0,18.56,7.0,324.09,33.24,229.9,0.508,0.8077,0.6052,0.9661,0.114,0.0522,-0.0996,0.2272,0.3805,0.3036,0.4463,5,10.46,1.0,0.0,0.3394,0.024,2.582,19.961930460332685
soybean,8.267,525.93,23.93,638.0,28.65,35.68,23.23,53.78,22.13,6.5,261.4,27.53,206.27,0.364,0.7185,0.4834,0.8989,0.0642,-0.2153,-0.4101,-0.1128,0.2239,0.0998,0.3667,4,7.68,0.68,0.0,0.1385,0.1557,3.897,16.238358669933795
rice,2.544,870.92,2.78,1015.4,28.42,32.86,23.03,65.96,5.52,6.97,228.52,38.01,233.86,0.15,0.6099,0.4677,0.7226,0.0523,-0.2412,-0.3694,-0.1293,0.2792,0.1914,0.4035,4,8.1,0.0,0.0,0.1922,0.0806,5.65,14.559423585709991
soybean,1.699,370.24,23.62,257.65,33.16,40.19,26.16,84.02,16.27,6.06,259.74,14.47,175.44,0.61,0.6467,0.4167,0.8093,0.1149,-0.3647,-0.564,-0.2991,0.1381,0.0021,0.2878,3,-3.51,5.19,0.0,0.3871,0.2577,3.144,32.637980462710445
